Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
Bateman's Vintage Ale Bottle 12 x 500ml,5017011540505,Beer,500,Glass,175,Rejected,230,2-Oct-19,70,,Amber/Brown,,,BR-0007235,,,TRUE,
Wenlock Sparkling,5018730000004,Plain water (carbonated or non-carbonated),750,Glass,286,Active,600,30-Nov-17,75,30-Nov-22,Flint/Clear,,,BR-0004069,,,FALSE,
Wenlock Still,5018730000196,Plain water (carbonated or non-carbonated),750,Glass,286,Active,600,30-Nov-17,75,30-Nov-22,Flint/Clear,,,BR-0004070,,,FALSE,
Double Dutch Pomegranate & Basil Premium Mixer,5060434790002,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008784,,,FALSE,
Double Dutch Cucumber & Watermelon Premium Mixer,5060434790026,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008781,,,FALSE,
Double Dutch Indian Tonic Water,5060434790040,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008783,,,FALSE,
Double Dutch Skinny Tonic Water,5060434790064,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008785,,,FALSE,
Double Dutch Cranberry & Ginger Tonic Water,5060434790125,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008780,,,FALSE,
Double Dutch Soda Water,5060434790309,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008786,,,FALSE,
Double Dutch Ginger Beer,5060434790330,Flavoured water/soft drink (carbonated),200,Glass,185,Active,363,9-May-18,103,2-May-23,Other,,clear,BR-0008782,,,FALSE,
Tennent's Lager Can 24x500ml,5391516930444,Beer,500,Aluminium,20,Active,15,7-Dec-17,70,1-Dec-22,,,,BR-0007246,,,FALSE,No
K Cider 6.9% Can 4x6x330ml,5391520443268,Cider/fruit based alcohol,330,Aluminium,20,Active,15,7-Dec-17,70,1-Dec-22,,,,BR-0007237,,,FALSE,No
Stella Artois (24 x 330ml ),5410228141266,Beer,330,Glass,225,Active,156,20-Nov-17,50,30-Nov-22,Green,,,BR-0005142,,,FALSE,
Leffe Blonde Beer (24 x 330ml),5410228142089,Beer,330,Glass,230,Active,182,20-Nov-17,50,30-Nov-22,Amber/Brown,,,BR-0005130,,,FALSE,
Leffe Brune Beer (24 x 330ml),5410228146162,Beer,330,Glass,230,Active,152,20-Nov-17,50,30-Nov-22,Amber/Brown,,,BR-0005131,,,FALSE,
