Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
Cherry Coke Can 355mL,9312165909779,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002756,,,FALSE,No
Strawberry Fanta 355mL,9312165915893,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002758,,,FALSE,No
A & W Cream N Soda 355mL,9312165915909,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002757,,,FALSE,No
Grape Fanta 355mL,9312165915916,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,12,26-Oct-17,60,30-Nov-22,,,,BR-0002759,,,FALSE,No
Mello Yellow 355mL,9312165915930,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002760,,,FALSE,No
Wimmers Portino,9313341000204,Flavoured water/soft drink (carbonated),1250,PET,295,Active,38,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0007111,,,TRUE,
Pepsi - Regular,9313820002316,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008801,,,TRUE,No
Pepsi - Max,9313820002323,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008802,,,TRUE,No
Pure Active Water 350ml,9314104103507,Plain water (carbonated or non-carbonated),350,PET,170,Active,22,30-Nov-17,60,30-Nov-22,,Clear/Transparent,,BR-0007142,,,FALSE,
Pure Active Water 600ml FT,9314104106003,Plain water (carbonated or non-carbonated),600,PET,198,Active,29,30-Nov-17,63,30-Nov-22,,Clear/Transparent,,BR-0007143,,,FALSE,
Pure Active Water 600ml PT,9314104106010,Plain water (carbonated or non-carbonated),600,PET,222,Active,29,30-Nov-17,63,30-Nov-22,,Clear/Transparent,,BR-0007144,,,FALSE,
Pure Active Water 1LTR PT,9314104110000,Plain water (carbonated or non-carbonated),1000,PET,276,Active,37,30-Nov-17,76,30-Nov-22,,Clear/Transparent,,BR-0007141,,,FALSE,
Pure Active Water 1.5LTR,9314104115005,Plain water (carbonated or non-carbonated),1500,PET,394,Active,41,7-Dec-17,85,30-Nov-22,,Clear/Transparent,,BR-0007140,,,FALSE,
Go Cola Lite,9314597100472,Flavoured water/soft drink (carbonated),330,Glass,210,Active,210,13-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0000641,,,FALSE,
Berts Lite Orange,9314597100632,Flavoured water/soft drink (carbonated),330,Glass,210,Active,210,13-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0000640,,,FALSE,
OZ1500 Water,9314904000020,Plain water (carbonated or non-carbonated),1500,PET,290,Active,36,15-Dec-17,83,30-Nov-22,,Clear/Transparent,,BR-0003091,,,FALSE,
OZ 350ml Water,9314904000037,Plain water (carbonated or non-carbonated),350,PET,160,Active,19,15-Dec-17,52,30-Nov-22,,Clear/Transparent,,BR-0003087,,,FALSE,
OZ600 Water,9314904000105,Plain water (carbonated or non-carbonated),600,PET,210,Active,19,15-Dec-17,70,30-Nov-22,,Clear/Transparent,,BR-0003089,,,FALSE,
First Water Health,9314904000129,Plain water (carbonated or non-carbonated),600,PET,210,Active,19,15-Dec-17,70,30-Nov-22,,Clear/Transparent,,BR-0003097,,,FALSE,
Original Springs 1500ml Water,9314904000532,Plain water (carbonated or non-carbonated),1500,PET,290,Active,36,15-Dec-17,83,30-Nov-22,,Clear/Transparent,,BR-0003086,,,FALSE,
The Five Points Water,9314904000600,Plain water (carbonated or non-carbonated),600,PET,210,Active,19,15-Dec-17,70,30-Nov-22,,Clear/Transparent,,BR-0003094,,,FALSE,
Solo - Regular,9315596000121,Flavoured water/soft drink (carbonated),440,Aluminium,150,Active,17,6-Nov-17,66,30-Nov-22,,,,BR-0002281,,,TRUE,No
Schweppes - Mixers - Soda Water,9315596000398,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002282,,,FALSE,
Schweppes - Mixers - Indian Tonic Water,9315596000404,Flavoured water/soft drink (carbonated),300,Glass,198,Active,198,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002283,,,TRUE,
Schweppes - Mixers - Lemon Lime & Bitters,9315596000435,Flavoured water/soft drink (carbonated),300,Glass,198,Active,198,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002284,,,TRUE,
Schweppes - Mixers - Dry Ginger Ale,9315596000442,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002285,,,TRUE,
Schweppes - Lemonade,9315596000459,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002286,,,TRUE,
Schweppes - Mixers - Agrum Citrus Blend,9315596000466,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002287,,,TRUE,
Schweppes - Mixers Diet - Indian Tonic Water,9315596000503,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002288,,,TRUE,
Schweppes - Mixers Diet - Ginger Ale,9315596000510,Flavoured water/soft drink (carbonated),300,Glass,198,Active,216,6-Nov-17,61,30-Nov-22,Flint/Clear,,,BR-0002289,,,TRUE,
Solo - Lemon & Lime,9315596001197,Flavoured water/soft drink (carbonated),600,PET,237,Active,20.7,6-Nov-17,71,30-Nov-22,,Other,,BR-0002290,,,TRUE,
Solo - Lemon & Lime,9315596001623,Flavoured water/soft drink (carbonated),375,Aluminium,132,Active,15,6-Nov-17,66,30-Nov-22,,,,BR-0002291,,,FALSE,No
Schweppes - Mineral Water - App & Grapefruit,9315596001845,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36.5,6-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002292,,,FALSE,
Spring Valley - Smart Water - Jump Start,9315596001876,Flavoured water/soft drink/ sports drink (non-carb),500,PET,210,Active,40,6-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0002293,,,FALSE,
Spring Valley - Smart Water - Harmony,9315596001890,Flavoured water/soft drink/ sports drink (non-carb),500,PET,210,Active,40,6-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0002294,,,FALSE,
Spring Valley - Smart Water - Savvy,9315596001906,Flavoured water/soft drink/ sports drink (non-carb),500,PET,210,Active,40,6-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0002295,,,FALSE,
Solo - Zero Sugar,9315596006949,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005598,,,TRUE,
Sunkist - Zero Sugar,9315596006956,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005599,,,TRUE,
Solo - Zero Sugar,9315596006963,Flavoured water/soft drink (carbonated),375,Aluminium,132,Active,15,22-Nov-17,66,30-Nov-22,,,,BR-0005591,,,TRUE,No
Schweppes - Lemonade Zero Sugar,9315596007007,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005596,,,FALSE,
Schweppes - Traditinal - Raspberry Zero Sugar,9315596007014,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005597,,,FALSE,
Schweppes - Lemonade Zero Sugar,9315596007021,Flavoured water/soft drink (carbonated),375,Aluminium,132,Active,15,22-Nov-17,66,30-Nov-22,,,,BR-0005589,,,TRUE,No
Cool Ridge - Restore,9315596007069,Flavoured water/soft drink/ sports drink (non-carb),450,PET,230,Active,30,18-Jan-18,60,10-Jan-23,,Clear/Transparent,,BR-0008025,,,TRUE,
Cool Ridge - Immunity,9315596007076,Flavoured water/soft drink/ sports drink (non-carb),450,PET,230,Active,30,18-Jan-18,60,10-Jan-23,,Clear/Transparent,,BR-0008026,,,TRUE,
Cool Ridge - Revitalise,9315596007083,Flavoured water/soft drink/ sports drink (non-carb),450,PET,230,Active,30,18-Jan-18,60,10-Jan-23,,Clear/Transparent,,BR-0008027,,,TRUE,
Schweppes - Mineral Water - Natural,9315596007144,Plain water (carbonated or non-carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008803,,,TRUE,No
Schweppes - Mixers - Indian Tonic Water,9315596007151,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008804,,,TRUE,No
Schweppes - Mixers - Soda Water,9315596007168,Plain water (carbonated or non-carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008805,,,TRUE,No
Schweppes - Mixers - Dry Ginger Ale,9315596007175,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008806,,,TRUE,No
Solo - Regular,9315596007182,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008808,,,TRUE,No
Schweppes - Lemonade,9315596007199,Flavoured water/soft drink (carbonated),200,Aluminium,111,Active,12,9-May-18,51,8-May-23,,,,BR-0008807,,,TRUE,No
Sunkist - Zero Sugar,9315596007458,Flavoured water/soft drink (carbonated),375,Aluminium,132,Active,15,22-Nov-17,66,30-Nov-22,,,,BR-0005594,,,TRUE,No
Frantelle - Lightly Sparkling,9315626000282,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005601,,,TRUE,
Frantelle - Lightly Sparkling Lime,9315626000299,Flavoured water/soft drink (carbonated),1250,PET,295,Active,36,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005600,,,TRUE,
Focus On Sports Raspberry,9315732260013,Flavoured water/soft drink/ sports drink (non-carb),350,PET,180,Active,19,13-Apr-18,60,30-Nov-22,,Other,,BR-0000470,,,TRUE,
Mountain Fresh,9315828000141,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000676,,,FALSE,
Mountain Fresh,9315828000165,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000675,,,FALSE,
Mountain Fresh,9315828000240,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000681,,,FALSE,
Mountain Fresh,9315828000516,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000683,,,FALSE,
Mountain Fresh,9315828000523,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000685,,,FALSE,
Mountain Fresh,9315828000530,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000686,,,FALSE,
Mountain Fresh,9315828000547,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000688,,,FALSE,
Mountain Fresh,9315828000776,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000679,,,FALSE,
Mountain Fresh,9315828000974,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000689,,,FALSE,
Mountain Fresh,9315828001506,Fruit juice,400,Glass,210,Active,250,26-Sep-17,70,30-Nov-22,Green,,,BR-0000678,,,FALSE,
Mountain Fresh,9315828020002,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000693,,,TRUE,
Mountain Fresh,9315828020019,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000692,,,TRUE,
Mountain Fresh,9315828020026,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000694,,,TRUE,
Mountain Fresh,9315828020040,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000695,,,TRUE,
Mountain Fresh,9315828020057,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000696,,,TRUE,
Mountain Fresh,9315828020095,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000697,,,TRUE,
Mountain Fresh,9315828020163,Fruit juice,300,PET,150,Active,27,26-Sep-17,60,30-Nov-22,,Other,,BR-0000698,,,TRUE,
Mountain Fresh,9315828080013,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000699,,,FALSE,
Mountain Fresh,9315828080020,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000701,,,FALSE,
Mountain Fresh,9315828080037,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000702,,,FALSE,
Mountain Fresh,9315828080044,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000704,,,FALSE,
Mountain Fresh,9315828080068,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000706,,,FALSE,
Mountain Fresh,9315828080075,Fruit juice,250,PET,150,Active,27,26-Sep-17,50,30-Nov-22,,Clear/Transparent,,BR-0000708,,,FALSE,
Real Lassi Mango 500mL,9315843654626,Other,520,HDPE,180,Active,22,1-Feb-18,70,30-Nov-22,,,,BR-0005496,Drinking Yoghurt,,FALSE,
Real Lassi Kiwifruit 500mL,9315843654633,Other,520,HDPE,180,Active,22,1-Feb-18,70,30-Nov-22,,,,BR-0005500,Drinking Yoghurt,,FALSE,
Absolute Natural Spring Water,9316131509611,Plain water (carbonated or non-carbonated),600,PET,210,Active,21,30-Nov-17,70,30-Nov-22,,Clear/Transparent,,BR-0005487,,,FALSE,
Noosa Natural Spring Water,9316555002200,Plain water (carbonated or non-carbonated),1500,PET,292,Active,47,30-Nov-17,89,30-Nov-22,,Clear/Transparent,,BR-0007119,,,TRUE,
Stanwell's Club Nectar,9316765125010,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008043,,,TRUE,
Stanwell's Cream Soda,9316765125027,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008044,,,TRUE,
Stanwell's Portello,9316765125034,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008046,,,TRUE,
Stanwell's Lime,9316765125041,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008045,,,TRUE,
Stanwell's Pineapple,9316765125058,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008041,,,TRUE,
Stanwell's Blue Raspberry,9316765150210,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008053,,,FALSE,
Stanwell's Blue Raspberry,9316765150357,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008047,,,FALSE,
Stanwell's Blue Raspberry,9316765150630,Flavoured water/soft drink (carbonated),1250,PET,295,Active,45,9-Feb-18,85,12-Jan-23,,Clear/Transparent,,BR-0008042,,,FALSE,
Stanwell's Club Nectar,9316765330018,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008054,,,TRUE,
Stanwell's Cream Soda,9316765330025,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008055,,,TRUE,
Stanwell's Portello,9316765330032,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008058,,,TRUE,
Stanwell's Lime,9316765330049,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008056,,,TRUE,
Stanwell's Pineapple,9316765330056,Flavoured water/soft drink (carbonated),330,Glass,210,Active,214,9-Feb-18,60,12-Jan-23,Flint/Clear,,,BR-0008057,,,TRUE,
Stanwell's Cream Soda,9316765600029,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008049,,,TRUE,
Stanwell's Portello,9316765600036,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008052,,,TRUE,
Stanwell's Lime,9316765600043,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008050,,,TRUE,
Stanwell's Pineapple,9316765600050,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008051,,,TRUE,
Stanwell's Club Nectar,9316765600098,Flavoured water/soft drink (carbonated),600,PET,240,Active,35,9-Feb-18,70,12-Jan-23,,Clear/Transparent,,BR-0008048,,,TRUE,
KIMURA Ramune E 30/200ml,9317523346418,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009074,,,TRUE,
SOUTH PACIFIC BEER LAGER BOTTLE 330ML,9318469110026,Beer,330,Glass,160,Active,170,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0003071,,,FALSE,
Bravo Portello,9318656000017,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000468,,,FALSE,
Bravo Blood Orange,9318656002035,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000461,,,FALSE,
Bravo Pink Grapefruit,9318656002042,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000460,,,FALSE,
Bravo Passionfruit,9318656002059,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000462,,,FALSE,
Bravo Lemon,9318656002066,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000463,,,FALSE,
Bravo Mexican Lime,9318656002073,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000465,,,FALSE,
Bravo Rasspberry&Cranberry,9318656003018,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000464,,,FALSE,
Bravo Chinotto,9318656003032,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000466,,,FALSE,
Bravo Lemon Lime &Bitters,9318656003056,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000467,,,FALSE,
Bravo Stawberry & Kiwi,9318656003124,Flavoured water/soft drink (carbonated),330,Glass,210,Active,211,26-Sep-17,60,30-Nov-22,Flint/Clear,,,BR-0000469,,,FALSE,
3LTR FRIDGE PACK,9318775819415,Plain water (carbonated or non-carbonated),3000,PET,300,Active,95,26-Sep-17,130,30-Nov-22,,Clear/Transparent,,BR-0000650,,,FALSE,
1 LTR SPORTS,9318775919955,Plain water (carbonated or non-carbonated),1000,PET,240,Active,39,26-Sep-17,80,30-Nov-22,,Clear/Transparent,,BR-0000649,,,FALSE,
600 ML STD,9318775919962,Plain water (carbonated or non-carbonated),600,PET,210,Active,22,26-Sep-17,70,30-Nov-22,,Clear/Transparent,,BR-0000647,,,FALSE,
600ML SPORTS,9318775919993,Plain water (carbonated or non-carbonated),600,PET,220,Active,23,26-Sep-17,70,30-Nov-22,,Clear/Transparent,,BR-0000648,,,FALSE,
PANDAROO Coconut water with pulp 310mL,9319224802248,Fruit juice,310,Aluminium,110,Active,25,8-Nov-17,60,30-Nov-22,,,,BR-0003040,,,FALSE,No
PANDAROO Coconut water 310mL,9319224802644,Fruit juice,310,Aluminium,110,Active,25,8-Nov-17,60,30-Nov-22,,,,BR-0003039,,,FALSE,No
Matilda Bay Lazy Yak 3.5%,9320000503020,Beer,345,Glass,227,Active,210,18-Jan-18,61,5-Jan-23,Amber/Brown,,,BR-0007998,,,TRUE,
Matilda Bay Fat Yak,9320000503174,Beer,375,Aluminium,130,Active,14,18-Jan-18,66,5-Jan-23,,,,BR-0007999,,,TRUE,No
Trivett Classic BMW,9321460000180,Plain water (carbonated or non-carbonated),600,PET,210,Active,21,8-Dec-17,70,30-Nov-22,,Clear/Transparent,,BR-0005488,,,FALSE,
Star Car Wash,9321460000227,Plain water (carbonated or non-carbonated),600,PET,210,Active,21,8-Dec-17,70,30-Nov-22,,Clear/Transparent,,BR-0005502,,,FALSE,
FAT PIXIE HARD GINGER BEER CAN,9323956005853,Beer,375,Aluminium,129,Active,18,2-May-18,66,30-Apr-23,,,,BR-0008767,,,FALSE,No
500ml Bundy Punch,9324227000393,Fruit juice,500,PET,180,Active,23,23-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005586,,,FALSE,
2L Pub Orange,9324227000706,Fruit juice,2000,PET,265,Active,48,23-Nov-17,125,30-Nov-22,,Clear/Transparent,,BR-0005587,,,TRUE,
James Squire Hop Father,9325528002680,Beer,345,Glass,222,Active,198,5-Feb-18,62,1-Feb-23,Amber/Brown,,,BR-0008257,,,TRUE,
Jewel Spring Water,9326180000601,Plain water (carbonated or non-carbonated),600,PET,226,Active,24,18-Jan-18,65,10-Jan-23,,Clear/Transparent,,BR-0008021,,,FALSE,
Jive mango and banana,9326720001242,Fruit juice,1040,PET,250,Active,34,27-Nov-17,80,30-Nov-22,,Clear/Transparent,,BR-0004972,,,TRUE,
BUTCHER'S BRIDE SESSION PALE ALE,9328329000404,Beer,330,Glass,220,Active,206,5-Feb-18,60,1-Feb-23,Amber/Brown,,,BR-0008265,,,FALSE,
TALON LAGER,9328329000435,Beer,330,Glass,225,Active,204,7-Dec-17,60,1-Dec-22,Green,,,BR-0007604,,,FALSE,
Little Creatures Extra Pale Ale,9328731002300,Beer,568,Glass,221,Active,350,5-Feb-18,76,1-Feb-23,Amber/Brown,,,BR-0008259,,,TRUE,
White Rabbit Choc Stout,9328731002331,Beer,330,Glass,221,Active,200,5-Feb-18,61,1-Feb-23,Amber/Brown,,,BR-0008258,,,TRUE,
Little Creatures The Fuggle is Real,9328731002423,Beer,355,Aluminium,118,Active,13,5-Feb-18,66,1-Feb-23,,,,BR-0008261,,,TRUE,No
V'eau,9329538016613,Plain water (carbonated or non-carbonated),600,PET,206,Active,22,1-Feb-18,71,31-Jan-23,,Other,,BR-0008251,,,TRUE,
VODKA CRUISER BOLD BERRY BTLS 275ML,9329982016603,Premixed alcoholic beverages,275,Glass,218,Active,178,19-Jan-18,57,16-Jan-23,Flint/Clear,,,BR-0008077,,,FALSE,
Hi NRG Vodka & Energy,9332364000916,Energy drinks (carbonated or non-carbonated),250,Aluminium,130,Active,17,13-Nov-17,50,30-Nov-22,,,,BR-0002900,,,FALSE,No
Vok Cocktail's Pina Colada 6%,9332364000947,Premixed alcoholic beverages,2000,"Cask (cardboard, foil and/or plastic)",220,Active,130,15-Dec-17,140,30-Nov-22,,,,BR-0002915,,,FALSE,
Vok Cocktails Lime Mojito 6%,9332364000961,Premixed alcoholic beverages,2000,"Cask (cardboard, foil and/or plastic)",220,Active,130,15-Dec-17,140,30-Nov-22,,,,BR-0002916,,,FALSE,
Infused Rush Lime 4%,9332364001456,Premixed alcoholic beverages,275,Glass,210,Active,200,13-Nov-17,50,30-Nov-22,Flint/Clear,,,BR-0002924,,,FALSE,
Infused Rush Passionfruit 4%,9332364001463,Premixed alcoholic beverages,275,Glass,210,Active,200,13-Nov-17,50,30-Nov-22,Flint/Clear,,,BR-0002925,,,FALSE,
Infused Rush Apple & Guava 4%,9332364001487,Premixed alcoholic beverages,275,Glass,210,Active,200,13-Nov-17,50,30-Nov-22,Flint/Clear,,,BR-0002926,,,FALSE,
Three Oaks Cider Pear 5%,9332364001661,Cider/fruit based alcohol,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002907,,,FALSE,No
Three Oaks Cider Apple 5%,9332364001708,Cider/fruit based alcohol,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002906,,,FALSE,No
Kilt Scotch Whisky & Cola 8%,9332364002156,Premixed alcoholic beverages,375,Aluminium,130,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002927,,,FALSE,No
Rebellion Bay Spiced Rum & Cola 6%,9332364002651,Premixed alcoholic beverages,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002911,,,FALSE,No
Lemon Ed Hard Lemonade 4%,9332364003009,Cider/fruit based alcohol,500,Glass,220,Active,200,13-Nov-17,70,30-Nov-22,Amber/Brown,,,BR-0002910,,,FALSE,
Real McCoy American Whiskey & Cola 4.5%,9332364003184,Premixed alcoholic beverages,440,Aluminium,150,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002923,,,FALSE,No
Lemon Ed Hard Lemonade 4%,9332364003214,Cider/fruit based alcohol,330,Glass,220,Active,200,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0002909,,,TRUE,
Three Oaks Cider Apple 8%,9332364003344,Cider/fruit based alcohol,275,Glass,210,Active,200,13-Nov-17,50,30-Nov-22,Flint/Clear,,,BR-0002904,,,FALSE,
Three Oaks Cider Apple 8%,9332364008776,Cider/fruit based alcohol,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002903,,,FALSE,No
Bearded Lady Bourbon & Cola 10%,9332364008806,Premixed alcoholic beverages,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002918,,,FALSE,No
Bearded Lady Bourbon & Cola 8%,9332364008837,Premixed alcoholic beverages,375,Aluminium,120,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0002917,,,FALSE,No
Hobo Brewing 'The Journey Ale' Session Ale,9332364009285,Beer,375,Aluminium,130,Active,5,26-Oct-17,60,30-Nov-22,,,,BR-0002665,,,FALSE,No
Hobo Brewing 'The Overlander' Mid-IPA,9332364009315,Beer,375,Aluminium,130,Active,5,26-Oct-17,60,30-Nov-22,,,,BR-0002664,,,FALSE,No
Hobo Brewing 'The Indepent' APA,9332364009346,Beer,375,Aluminium,130,Active,5,26-Oct-17,60,30-Nov-22,,,,BR-0002663,,,FALSE,No
Vickers Gin & Tonic 4.9%,9332364009377,Premixed alcoholic beverages,250,Aluminium,130,Active,17,13-Nov-17,50,30-Nov-22,,,,BR-0002913,,,FALSE,No
Vickers Gin & Pink Grapefruit 4.9%,9332364009407,Premixed alcoholic beverages,250,Aluminium,130,Active,17,13-Nov-17,50,30-Nov-22,,,,BR-0002914,,,FALSE,No
